date,total_cases,new_cases,new_cases_smoothed,Days_Passed
2020-01-01,0.0,0.0,0.0,0
2020-01-02,0.0,0.0,0.0,1
2020-01-03,0.0,0.0,0.0,2
2020-01-04,0.0,0.0,0.0,3
2020-01-05,0.0,0.0,0.0,4
2020-01-06,0.0,0.0,0.0,5
2020-01-07,0.0,0.0,0.0,6
2020-01-08,0.0,0.0,0.0,7
2020-01-09,0.0,0.0,0.0,8
2020-01-10,0.0,0.0,0.0,9
2020-01-11,0.0,0.0,0.0,10
2020-01-12,0.0,0.0,0.0,11
2020-01-13,0.0,0.0,0.0,12
2020-01-14,0.0,0.0,0.0,13
2020-01-15,0.0,0.0,0.0,14
2020-01-16,0.0,0.0,0.0,15
2020-01-17,0.0,0.0,0.0,16
2020-01-18,0.0,0.0,0.0,17
2020-01-19,0.0,0.0,0.0,18
2020-01-20,0.0,0.0,0.0,19
2020-01-21,0.0,0.0,0.0,20
2020-01-22,0.0,0.0,0.0,21
2020-01-23,0.0,0.0,0.0,22
2020-01-24,0.0,0.0,0.0,23
2020-01-25,0.0,0.0,0.0,24
2020-01-26,0.0,0.0,0.0,25
2020-01-27,0.0,0.0,0.0,26
2020-01-28,0.0,0.0,0.0,27
2020-01-29,0.0,0.0,0.0,28
2020-01-30,1.0,1.0,0.0,29
2020-01-31,1.0,0.0,0.0,30
2020-02-01,1.0,0.0,0.0,31
2020-02-02,2.0,1.0,0.0,32
2020-02-03,3.0,1.0,0.0,33
2020-02-04,3.0,0.0,0.429,34
2020-02-05,3.0,0.0,0.429,35
2020-02-06,3.0,0.0,0.286,36
2020-02-07,3.0,0.0,0.286,37
2020-02-08,3.0,0.0,0.286,38
2020-02-09,3.0,0.0,0.143,39
2020-02-10,3.0,0.0,0.0,40
2020-02-11,3.0,0.0,0.0,41
2020-02-12,3.0,0.0,0.0,42
2020-02-13,3.0,0.0,0.0,43
2020-02-14,3.0,0.0,0.0,44
2020-02-15,3.0,0.0,0.0,45
2020-02-16,3.0,0.0,0.0,46
2020-02-17,3.0,0.0,0.0,47
2020-02-18,3.0,0.0,0.0,48
2020-02-19,3.0,0.0,0.0,49
2020-02-20,3.0,0.0,0.0,50
2020-02-21,3.0,0.0,0.0,51
2020-02-22,3.0,0.0,0.0,52
2020-02-23,3.0,0.0,0.0,53
2020-02-24,3.0,0.0,0.0,54
2020-02-25,3.0,0.0,0.0,55
2020-02-26,3.0,0.0,0.0,56
2020-02-27,3.0,0.0,0.0,57
2020-02-28,3.0,0.0,0.0,58
2020-02-29,3.0,0.0,0.0,59
2020-03-01,3.0,0.0,0.0,60
2020-03-02,5.0,2.0,0.286,61
2020-03-03,5.0,0.0,0.286,62
2020-03-04,28.0,23.0,3.571,63
2020-03-05,30.0,2.0,3.857,64
2020-03-06,31.0,1.0,4.0,65
2020-03-07,34.0,3.0,4.429,66
2020-03-08,39.0,5.0,5.143,67
2020-03-09,43.0,4.0,5.429,68
2020-03-10,56.0,13.0,7.286,69
2020-03-11,62.0,6.0,4.857,70
2020-03-12,73.0,11.0,6.143,71
2020-03-13,82.0,9.0,7.286,72
2020-03-14,102.0,20.0,9.714,73
2020-03-15,113.0,11.0,10.571,74
2020-03-16,119.0,6.0,10.857,75
2020-03-17,142.0,23.0,12.286,76
2020-03-18,156.0,14.0,13.429,77
2020-03-19,194.0,38.0,17.286,78
2020-03-20,244.0,50.0,23.143,79
2020-03-21,330.0,86.0,32.571,80
2020-03-22,396.0,66.0,40.429,81
2020-03-23,499.0,103.0,54.286,82
2020-03-24,536.0,37.0,56.286,83
2020-03-25,657.0,121.0,71.571,84
2020-03-26,727.0,70.0,76.143,85
2020-03-27,887.0,160.0,91.857,86
2020-03-28,987.0,100.0,93.857,87
2020-03-29,1024.0,37.0,89.714,88
2020-03-30,1251.0,227.0,107.429,89
2020-03-31,1397.0,146.0,123.0,90
2020-04-01,1998.0,601.0,191.571,91
2020-04-02,2543.0,545.0,259.429,92
2020-04-03,2567.0,24.0,240.0,93
2020-04-04,3082.0,515.0,299.286,94
2020-04-05,3588.0,506.0,366.286,95
2020-04-06,4778.0,1190.0,503.857,96
2020-04-07,5311.0,533.0,559.143,97
2020-04-08,5916.0,605.0,559.714,98
2020-04-09,6725.0,809.0,597.429,99
2020-04-10,7598.0,873.0,718.714,100
2020-04-11,8446.0,848.0,766.286,101
2020-04-12,9205.0,759.0,802.429,102
2020-04-13,10453.0,1248.0,810.714,103
2020-04-14,11487.0,1034.0,882.286,104
2020-04-15,12322.0,835.0,915.143,105
2020-04-16,13430.0,1108.0,957.857,106
2020-04-17,14352.0,922.0,964.857,107
2020-04-18,15722.0,1370.0,1039.429,108
2020-04-19,17615.0,1893.0,1201.429,109
2020-04-20,18539.0,924.0,1155.143,110
2020-04-21,20080.0,1541.0,1227.571,111
2020-04-22,21370.0,1290.0,1292.571,112
2020-04-23,23077.0,1707.0,1378.143,113
2020-04-24,24530.0,1453.0,1454.0,114
2020-04-25,26283.0,1753.0,1508.714,115
2020-04-26,27890.0,1607.0,1467.857,116
2020-04-27,29451.0,1561.0,1558.857,117
2020-04-28,31324.0,1873.0,1606.286,118
2020-04-29,33062.0,1738.0,1670.286,119
2020-04-30,34863.0,1801.0,1683.714,120
2020-05-01,37257.0,2394.0,1818.143,121
2020-05-02,39699.0,2442.0,1916.571,122
2020-05-03,42505.0,2806.0,2087.857,123
2020-05-04,46437.0,3932.0,2426.571,124
2020-05-05,49400.0,2963.0,2582.286,125
2020-05-06,52987.0,3587.0,2846.429,126
2020-05-07,56351.0,3364.0,3069.714,127
2020-05-08,59695.0,3344.0,3205.429,128
2020-05-09,62808.0,3113.0,3301.286,129
2020-05-10,67161.0,4353.0,3522.286,130
2020-05-11,70768.0,3607.0,3475.857,131
2020-05-12,74292.0,3524.0,3556.0,132
2020-05-13,78055.0,3763.0,3581.143,133
2020-05-14,81997.0,3942.0,3663.714,134
2020-05-15,85784.0,3787.0,3727.0,135
2020-05-16,90648.0,4864.0,3977.143,136
2020-05-17,95698.0,5050.0,4076.714,137
2020-05-18,100328.0,4630.0,4222.857,138
2020-05-19,106475.0,6147.0,4597.571,139
2020-05-20,112028.0,5553.0,4853.286,140
2020-05-21,118226.0,6198.0,5175.571,141
2020-05-22,124794.0,6568.0,5572.857,142
2020-05-23,131423.0,6629.0,5825.0,143
2020-05-24,138536.0,7113.0,6119.714,144
2020-05-25,144950.0,6414.0,6374.571,145
2020-05-26,150793.0,5843.0,6331.143,146
2020-05-27,158086.0,7293.0,6579.714,147
2020-05-28,165386.0,7300.0,6737.143,148
2020-05-29,173491.0,8105.0,6956.714,149
2020-05-30,181827.0,8336.0,7200.571,150
2020-05-31,190609.0,8782.0,7439.0,151
2020-06-01,198370.0,7761.0,7631.429,152
2020-06-02,207191.0,8821.0,8056.857,153
2020-06-03,216824.0,9633.0,8391.143,154
2020-06-04,226713.0,9889.0,8761.0,155
2020-06-05,236184.0,9471.0,8956.143,156
2020-06-06,246622.0,10438.0,9256.429,157
2020-06-07,257486.0,10864.0,9553.857,158
2020-06-08,265928.0,8442.0,9651.143,159
2020-06-09,276146.0,10218.0,9850.714,160
2020-06-10,286605.0,10459.0,9968.714,161
2020-06-11,297535.0,10930.0,10117.429,162
2020-06-12,308993.0,11458.0,10401.286,163
2020-06-13,320922.0,11929.0,10614.286,164
2020-06-14,332424.0,11502.0,10705.429,165
2020-06-15,343091.0,10667.0,11023.286,166
2020-06-16,354065.0,10974.0,11131.286,167
2020-06-17,366946.0,12881.0,11477.286,168
2020-06-18,380532.0,13586.0,11856.714,169
2020-06-19,395048.0,14516.0,12293.571,170
