date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,positive_rate,days_passed
2020-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2020-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
2020-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5
2020-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
2020-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
2020-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
2020-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
2020-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
2020-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
2020-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17
2020-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
2020-01-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21
2020-01-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22
2020-01-24,2.0,1.0,0.0,0.0,0.0,0.0,0.0,23
2020-01-25,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2020-01-26,5.0,3.0,0.0,0.0,0.0,0.0,0.0,25
2020-01-27,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26
2020-01-28,5.0,0.0,0.571,0.0,0.0,0.0,0.0,27
2020-01-29,6.0,1.0,0.714,0.0,0.0,0.0,0.0,28
2020-01-30,6.0,0.0,0.714,0.0,0.0,0.0,0.0,29
2020-01-31,8.0,2.0,0.857,0.0,0.0,0.0,0.0,30
2020-02-01,8.0,0.0,0.857,0.0,0.0,0.0,0.0,31
2020-02-02,8.0,0.0,0.429,0.0,0.0,0.0,0.0,32
2020-02-03,11.0,3.0,0.857,0.0,0.0,0.0,0.0,33
2020-02-04,11.0,0.0,0.857,0.0,0.0,0.0,0.0,34
2020-02-05,11.0,0.0,0.714,0.0,0.0,0.0,0.0,35
2020-02-06,12.0,1.0,0.857,0.0,0.0,0.0,0.0,36
2020-02-07,12.0,0.0,0.571,0.0,0.0,0.0,0.0,37
2020-02-08,12.0,0.0,0.571,0.0,0.0,0.0,0.0,38
2020-02-09,12.0,0.0,0.571,0.0,0.0,0.0,0.0,39
2020-02-10,12.0,0.0,0.143,0.0,0.0,0.0,0.0,40
2020-02-11,13.0,1.0,0.286,0.0,0.0,0.0,0.0,41
2020-02-12,13.0,0.0,0.286,0.0,0.0,0.0,0.0,42
2020-02-13,14.0,1.0,0.286,0.0,0.0,0.0,0.0,43
2020-02-14,14.0,0.0,0.286,0.0,0.0,0.0,0.0,44
2020-02-15,14.0,0.0,0.286,0.0,0.0,0.0,0.0,45
2020-02-16,14.0,0.0,0.286,0.0,0.0,0.0,0.0,46
2020-02-17,14.0,0.0,0.286,0.0,0.0,0.0,0.0,47
2020-02-18,14.0,0.0,0.143,0.0,0.0,0.0,0.0,48
2020-02-19,14.0,0.0,0.143,0.0,0.0,0.0,0.0,49
2020-02-20,14.0,0.0,0.0,0.0,0.0,0.0,0.0,50
2020-02-21,16.0,2.0,0.286,0.0,0.0,0.0,0.0,51
2020-02-22,16.0,0.0,0.286,0.0,0.0,0.0,0.0,52
2020-02-23,16.0,0.0,0.286,0.0,0.0,0.0,0.0,53
2020-02-24,16.0,0.0,0.286,0.0,0.0,0.0,0.0,54
2020-02-25,16.0,0.0,0.286,0.0,0.0,0.0,0.0,55
2020-02-26,16.0,0.0,0.286,0.0,0.0,0.0,0.0,56
2020-02-27,17.0,1.0,0.429,0.0,0.0,0.0,0.0,57
2020-02-28,17.0,0.0,0.143,0.0,0.0,0.0,0.0,58
2020-02-29,25.0,8.0,1.286,1.0,1.0,0.143,0.0,59
2020-03-01,32.0,7.0,2.286,1.0,0.0,0.143,0.0,60
2020-03-02,55.0,23.0,5.571,6.0,5.0,0.857,0.0,61
2020-03-03,74.0,19.0,8.286,7.0,1.0,1.0,0.0,62
2020-03-04,107.0,33.0,13.0,11.0,4.0,1.571,0.0,63
2020-03-05,184.0,77.0,23.857,12.0,1.0,1.714,0.0,64
2020-03-06,237.0,53.0,31.429,14.0,2.0,2.0,0.0,65
2020-03-07,403.0,166.0,54.0,17.0,3.0,2.286,0.0,66
2020-03-08,519.0,116.0,69.571,21.0,4.0,2.857,0.0597,67
2020-03-09,594.0,75.0,77.0,22.0,1.0,2.286,0.0537,68
2020-03-10,782.0,188.0,101.143,28.0,6.0,3.0,0.0549,69
2020-03-11,1147.0,365.0,148.571,33.0,5.0,3.143,0.0618,70
2020-03-12,1586.0,439.0,200.286,43.0,10.0,4.429,0.0572,71
2020-03-13,2219.0,633.0,283.143,51.0,8.0,5.286,0.0571,72
2020-03-14,2978.0,759.0,367.857,58.0,7.0,5.857,0.0561,73
2020-03-15,3212.0,234.0,384.714,70.0,12.0,7.0,0.0459,74
2020-03-16,4679.0,1467.0,583.571,97.0,27.0,10.714,0.0489,75
2020-03-17,6512.0,1833.0,818.571,134.0,37.0,15.143,0.0478,76
2020-03-18,9169.0,2657.0,1146.0,194.0,60.0,23.0,0.0485,77
2020-03-19,13663.0,4494.0,1725.286,266.0,72.0,31.857,0.0556,78
2020-03-20,20030.0,6367.0,2544.429,372.0,106.0,45.857,0.0632,79
2020-03-21,26025.0,5995.0,3292.429,475.0,103.0,59.571,0.0669,80
2020-03-22,34944.0,8919.0,4533.143,603.0,128.0,76.143,0.0785,81
2020-03-23,46096.0,11152.0,5916.714,790.0,187.0,99.0,0.0907,82
2020-03-24,56714.0,10618.0,7171.714,1033.0,243.0,128.429,0.0963,83
2020-03-25,68841.0,12127.0,8524.571,1366.0,333.0,167.429,0.1019,84
2020-03-26,86662.0,17821.0,10428.429,1783.0,417.0,216.714,0.1116,85
2020-03-27,105253.0,18591.0,12174.714,2305.0,522.0,276.143,0.1194,86
2020-03-28,127417.0,22164.0,14484.571,3018.0,713.0,363.286,0.1335,87
2020-03-29,143544.0,16127.0,15514.286,3573.0,555.0,424.286,0.1364,88
2020-03-30,165698.0,22154.0,17086.0,4280.0,707.0,498.571,0.1424,89
2020-03-31,192079.0,26381.0,19337.857,5359.0,1079.0,618.0,0.1543,90
2020-04-01,224317.0,32238.0,22210.857,6635.0,1276.0,752.714,0.1698,91
2020-04-02,256547.0,32230.0,24269.286,8146.0,1511.0,909.0,0.1791,92
2020-04-03,289029.0,32482.0,26253.714,9566.0,1420.0,1037.286,0.1872,93
2020-04-04,321205.0,32176.0,27684.0,11172.0,1606.0,1164.857,0.1923,94
2020-04-05,350809.0,29604.0,29609.286,12790.0,1618.0,1316.714,0.2,95
2020-04-06,382667.0,31858.0,30995.571,14523.0,1733.0,1463.286,0.2055,96
2020-04-07,413010.0,30343.0,31561.571,17099.0,2576.0,1677.143,0.202,97
2020-04-08,444160.0,31150.0,31406.143,19250.0,2151.0,1802.143,0.1983,98
2020-04-09,480603.0,36443.0,32008.0,21463.0,2213.0,1902.429,0.1999,99
2020-04-10,514950.0,34347.0,32274.429,23649.0,2186.0,2011.857,0.201,100
2020-04-11,544228.0,29278.0,31860.429,25790.0,2141.0,2088.286,0.188,101
2020-04-12,571100.0,26872.0,31470.143,27679.0,1889.0,2127.0,0.19,102
2020-04-13,598024.0,26924.0,30765.286,29657.0,1978.0,2162.0,0.1905,103
2020-04-14,626419.0,28395.0,30487.0,32132.0,2475.0,2147.571,0.1917,104
2020-04-15,652319.0,25900.0,29737.0,34719.0,2587.0,2209.857,0.1863,105
2020-04-16,682275.0,29956.0,28810.286,36908.0,2189.0,2206.429,0.1788,106
2020-04-17,715432.0,33157.0,28640.286,39007.0,2099.0,2194.0,0.1737,107
2020-04-18,743426.0,27994.0,28456.857,40951.0,1944.0,2165.857,0.1792,108
2020-04-19,769349.0,25923.0,28321.286,42934.0,1983.0,2179.286,0.1748,109
2020-04-20,799029.0,29680.0,28715.0,45179.0,2245.0,2217.429,0.1702,110
2020-04-21,825199.0,26170.0,28397.143,47662.0,2483.0,2218.571,0.1603,111
2020-04-22,854618.0,29419.0,28899.857,50119.0,2457.0,2200.0,0.1552,112
2020-04-23,887386.0,32768.0,29301.571,52543.0,2424.0,2233.571,0.1516,113
2020-04-24,919538.0,32152.0,29158.0,54712.0,2169.0,2243.571,0.1444,114
2020-04-25,950532.0,30994.0,29586.571,56444.0,1732.0,2213.286,0.1412,115
2020-04-26,977079.0,26547.0,29675.714,57850.0,1406.0,2130.857,0.1381,116
2020-04-27,1000829.0,23750.0,28828.571,59330.0,1480.0,2021.571,0.1286,117
2020-04-28,1025519.0,24690.0,28617.143,61571.0,2241.0,1987.0,0.1238,118
